1,2
1,5
2,1
2,3
2,4
3,2
3,4
3,9
4,2
4,3
4,5
4,7
4,8
4,9
5,1
5,4
5,6
5,7
6,5
6,7
7,4
7,5
7,6
7,8
7,11
7,12
8,4
8,7
8,9
8,10
8,11
8,13
9,3
9,4
9,8
9,10
10,8
10,9
10,13
10,14
11,7
11,8
11,12
11,13
11,16
12,7
12,11
12,15
12,16
13,8
13,10
13,11
13,14
13,19
14,10
14,13
14,19
14,21
14,22
15,12
15,15
16,11
16,12
16,15
16,17
17,16
17,18
17,19
18,17
18,20
19,13
19,14
19,17
19,20
20,18
20,19
20,21
21,14
21,20
22,14
22,23
23,22
23,24
24,23
24,25
25,24
